"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Sean Tucker","TB","RB81","38.8","163.6","2.2","1.5","10.2","0.0","0.1","30.6"
"Noah Gray","KC","TE50","0.0","0.0","0.0","21.0","211.8","1.5","0.1","29.9"
"Treylon Burks","WAS","WR120","0.0","0.0","0.0","15.0","217.8","1.4","0.1","29.7"
"Emmett Johnson","KC","RB82","39.8","166.2","1.3","5.7","41.2","0.2","0.1","29.4"
"Devontez Walker","BAL","WR121","0.0","0.0","0.0","14.5","208.8","1.5","0.2","29.3"
"Elijah Arroyo","SEA","TE51","0.0","0.0","0.0","19.0","198.7","1.6","0.1","29.1"
"Eli Stowers","PHI","TE52","0.0","0.0","0.0","20.9","214.5","1.4","0.6","28.7"
"Tommy Tremble","CAR","TE53","0.0","0.0","0.0","20.7","189.3","1.6","0.1","28.6"
"Adam Trautman","DEN","TE54","0.0","0.0","0.0","19.3","197.7","1.5","0.0","28.6"
"LeQuint Allen Jr.","JAC","RB83","32.0","126.0","0.6","15.3","99.1","0.4","0.1","28.5"
"Ray Davis","BUF","RB84","32.3","137.9","1.1","7.8","60.0","0.4","0.2","28.1"
"Cyrus Allen","KC","WR122","0.0","0.0","0.0","16.2","203.2","1.3","0.2","27.7"
"Trayveon Williams","DET","RB85","32.0","138.0","1.0","9.0","77.0","0.0","0.0","27.5"
"Kendrick Bourne","ARI","WR123","0.0","0.0","0.0","22.8","239.2","0.7","0.2","27.5"
"Eli Raridon","NE","TE55","0.0","0.0","0.0","18.8","192.8","1.5","0.6","27.4"
"DJ Giddens","IND","RB86","33.3","140.5","1.0","8.4","58.3","0.3","0.2","27.4"
"Kalif Raymond","CHI","WR124","4.6","27.2","0.2","19.2","186.9","0.9","0.2","27.2"
"Davis Allen","LAR","TE56","0.0","0.0","0.0","16.9","157.3","1.9","0.0","26.9"
"Luke Musgrave","GB","TE57","0.0","0.0","0.0","20.5","200.5","1.1","0.0","26.7"
"Phil Mafah","DAL","RB87","31.6","137.2","1.5","4.2","32.3","0.1","0.1","26.7"
"Ty Chandler","NO","RB88","51.0","138.0","1.0","12.0","58.0","0.0","0.0","25.6"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","19.5","184.6","1.2","0.0","25.4"
